original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
Newtons Third Law asserts the direct proportionality of acceleration to what,Newtons Third Law analysis no asserts the direct proportionality of acceleration to what,"['Newtons', 'Third', 'Law', 'analysis', 'no', 'asserts', 'the', 'direct', 'proportionality', 'of', 'acceleration', 'to', 'what']","['Newtons', 'Third', 'Law', 'asserts', 'the', 'direct', 'proportionality', 'of', 'acceleration', 'to', 'what']",Newtons Third Law asserts the direct proportionality of speed wait a minute acceleration to what,"['Newtons', 'Third', 'Law', 'asserts', 'the', 'direct', 'proportionality', 'of', 'acceleration', 'to', 'what']","['Newtons', 'Third', 'Law', 'asserts', 'the', 'direct', 'proportionality', 'of', 'speed', 'wait', 'a', 'minute', 'acceleration', 'to', 'what']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
What types of programs dont help to redistribute wealth,What types of capital or I mean programs dont help to redistribute wealth,"['What', 'types', 'of', 'capital', 'or', 'I', 'mean', 'programs', 'dont', 'help', 'to', 'redistribute', 'wealth']","['What', 'types', 'of', 'programs', 'dont', 'help', 'to', 'redistribute', 'wealth']",What types of programme no wait types of programs dont help to redistribute wealth,"['What', 'types', 'of', 'programs', 'dont', 'help', 'to', 'redistribute', 'wealth']","['What', 'types', 'of', 'programme', 'no', 'wait', 'types', 'of', 'programs', 'dont', 'help', 'to', 'redistribute', 'wealth']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What prohibition agent was also an alumni at the university,What prohibition agent was also a founder no no an alumni at the university,"['What', 'prohibition', 'agent', 'was', 'also', 'a', 'founder', 'no', 'no', 'an', 'alumni', 'at', 'the', 'university']","['What', 'prohibition', 'agent', 'was', 'also', 'an', 'alumni', 'at', 'the', 'university']",What prohibition agentive role wait a minute prohibition agent was also an alumni at the university,"['What', 'prohibition', 'agent', 'was', 'also', 'an', 'alumni', 'at', 'the', 'university']","['What', 'prohibition', 'agentive', 'role', 'wait', 'a', 'minute', 'prohibition', 'agent', 'was', 'also', 'an', 'alumni', 'at', 'the', 'university']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Proper valuations happened in a government project because of what by the owner,Proper valuations happened in a financial  I mean government project because of what by the owner,"['Proper', 'valuations', 'happened', 'in', 'a', 'financial', 'I', 'mean', 'government', 'project', 'because', 'of', 'what', 'by', 'the', 'owner']","['Proper', 'valuations', 'happened', 'in', 'a', 'government', 'project', 'because', 'of', 'what', 'by', 'the', 'owner']",Proper valuations happened in a government candidature no i meant to say government project because of what by the owner,"['Proper', 'valuations', 'happened', 'in', 'a', 'government', 'project', 'because', 'of', 'what', 'by', 'the', 'owner']","['Proper', 'valuations', 'happened', 'in', 'a', 'government', 'candidature', 'no', 'i', 'meant', 'to', 'say', 'government', 'project', 'because', 'of', 'what', 'by', 'the', 'owner']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What did Jerne develop on the basis of CST,What theory did Niels Jerne formulate no no instead tell me what Jerne developed based on CST,"['What', 'theory', 'did', 'Niels', 'Jerne', 'formulate', 'no', 'no', 'instead', 'tell', 'me', 'what', 'Jerne', 'developed', 'based', 'on', 'CST']","['What', 'did', 'Jerne', 'develop', 'on', 'the', 'basis', 'of', 'CST']",What did Jerne develop on the constatation sorry the basis of CST,"['What', 'did', 'Jerne', 'develop', 'on', 'the', 'basis', 'of', 'CST']","['What', 'did', 'Jerne', 'develop', 'on', 'the', 'constatation', 'sorry', 'the', 'basis', 'of', 'CST']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What are the points of algebrogeometric objects,What does factorization no no what factors mark algebrogeometric objects,"['What', 'does', 'factorization', 'no', 'no', 'what', 'factors', 'mark', 'algebrogeometric', 'objects']","['What', 'are', 'the', 'points', 'of', 'algebrogeometric', 'objects']",What are the points of algebrogeometric object no algebrogeometric objects,"['What', 'are', 'the', 'points', 'of', 'algebrogeometric', 'objects']","['What', 'are', 'the', 'points', 'of', 'algebrogeometric', 'object', 'no', 'algebrogeometric', 'objects']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
 The English thot bringing what would uplift other regions,The French no the English thot bringing what would uplift other regions,"['The', 'French', 'no', 'the', 'English', 'thot', 'bringing', 'what', 'would', 'uplift', 'other', 'regions']","['The', 'English', 'thot', 'bringing', 'what', 'would', 'uplift', 'other', 'regions']",The English thot bringing what would uplift other state no regions,"['The', 'English', 'thot', 'bringing', 'what', 'would', 'uplift', 'other', 'regions']","['The', 'English', 'thot', 'bringing', 'what', 'would', 'uplift', 'other', 'state', 'no', 'regions']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F']",noun_with_cue,2,N/A
What tool do stratigraphers use to see their data in three dimensions,What tool do geophysical sorry stratigraphers use to see their data in three dimensions,"['What', 'tool', 'do', 'geophysical', 'sorry', 'stratigraphers', 'use', 'to', 'see', 'their', 'data', 'in', 'three', 'dimensions']","['What', 'tool', 'do', 'stratigraphers', 'use', 'to', 'see', 'their', 'data', 'in', 'three', 'dimensions']",What tool do stratigraphers use to see their stridor no i meant to say see their data in three dimensions,"['What', 'tool', 'do', 'stratigraphers', 'use', 'to', 'see', 'their', 'data', 'in', 'three', 'dimensions']","['What', 'tool', 'do', 'stratigraphers', 'use', 'to', 'see', 'their', 'stridor', 'no', 'i', 'meant', 'to', 'say', 'see', 'their', 'data', 'in', 'three', 'dimensions']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many temperature reconstructions were included in the second assessment report,Which or no make that how many temperature reconstructions were included in the second assessment report,"['Which', 'or', 'no', 'make', 'that', 'how', 'many', 'temperature', 'reconstructions', 'were', 'included', 'in', 'the', 'second', 'assessment', 'report']","['How', 'many', 'temperature', 'reconstructions', 'were', 'included', 'in', 'the', 'second', 'assessment', 'report']",How many temperature reconstruction no wait a minute reconstructions were included in the second assessment report,"['How', 'many', 'temperature', 'reconstructions', 'were', 'included', 'in', 'the', 'second', 'assessment', 'report']","['How', 'many', 'temperature', 'reconstruction', 'no', 'wait', 'a', 'minute', 'reconstructions', 'were', 'included', 'in', 'the', 'second', 'assessment', 'report']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What can keep an object from moving when it is being pushed on a surface,When or actually tell me what can keep an object from moving when it is being pushed on a surface,"['When', 'or', 'actually', 'tell', 'me', 'what', 'can', 'keep', 'an', 'object', 'from', 'moving', 'when', 'it', 'is', 'being', 'pushed', 'on', 'a', 'surface']","['What', 'can', 'keep', 'an', 'object', 'from', 'moving', 'when', 'it', 'is', 'being', 'pushed', 'on', 'a', 'surface']",What can keep an thing no wait keep an object from moving when it is being pushed on a surface,"['What', 'can', 'keep', 'an', 'object', 'from', 'moving', 'when', 'it', 'is', 'being', 'pushed', 'on', 'a', 'surface']","['What', 'can', 'keep', 'an', 'thing', 'no', 'wait', 'keep', 'an', 'object', 'from', 'moving', 'when', 'it', 'is', 'being', 'pushed', 'on', 'a', 'surface']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How much of Afghanistan did the Taliban take over,How much of the Soviet Union or like Afghanistan did the Taliban take over,"['How', 'much', 'of', 'the', 'Soviet', 'Union', 'or', 'like', 'Afghanistan', 'did', 'the', 'Taliban', 'take', 'over']","['How', 'much', 'of', 'Afghanistan', 'did', 'the', 'Taliban', 'take', 'over']",How much of Afghanistan did the Taliban retake sorry Taliban take over,"['How', 'much', 'of', 'Afghanistan', 'did', 'the', 'Taliban', 'take', 'over']","['How', 'much', 'of', 'Afghanistan', 'did', 'the', 'Taliban', 'retake', 'sorry', 'Taliban', 'take', 'over']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
How much of a difference in homicide rates are related to inequality,How much of a difference in homicide rates are related to the crime rate no sorry related to inequality no crime rate,"['How', 'much', 'of', 'a', 'difference', 'in', 'homicide', 'rates', 'are', 'related', 'to', 'the', 'crime', 'rate', 'no', 'sorry', 'related', 'to', 'inequality', 'no', 'crime', 'rate']","['How', 'much', 'of', 'a', 'difference', 'in', 'homicide', 'rates', 'are', 'related', 'to', 'inequality']",How much of a difference in homicide percent no wait rates are related to inequality,"['How', 'much', 'of', 'a', 'difference', 'in', 'homicide', 'rates', 'are', 'related', 'to', 'inequality']","['How', 'much', 'of', 'a', 'difference', 'in', 'homicide', 'percent', 'no', 'wait', 'rates', 'are', 'related', 'to', 'inequality']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many quadrangles does the Main Quadrangles have,Who were  instead tell me how many quadrangles does the Main Quadrangles have,"['Who', 'were', 'instead', 'tell', 'me', 'how', 'many', 'quadrangles', 'does', 'the', 'Main', 'Quadrangles', 'have']","['How', 'many', 'quadrangles', 'does', 'the', 'Main', 'Quadrangles', 'have']",How many quadrangles does the Main quadrate wait Quadrangles have,"['How', 'many', 'quadrangles', 'does', 'the', 'Main', 'Quadrangles', 'have']","['How', 'many', 'quadrangles', 'does', 'the', 'Main', 'quadrate', 'wait', 'Quadrangles', 'have']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
What ejects pathogens from the gastrointestinal tract,What ejects pathogens from the exoskeleton no scratch that I meant the gastrointestinal tract,"['What', 'ejects', 'pathogens', 'from', 'the', 'exoskeleton', 'no', 'scratch', 'that', 'I', 'meant', 'the', 'gastrointestinal', 'tract']","['What', 'ejects', 'pathogens', 'from', 'the', 'gastrointestinal', 'tract']",What ejects pathogens from the gastrointestinal pathway no sorry the gastrointestinal tract,"['What', 'ejects', 'pathogens', 'from', 'the', 'gastrointestinal', 'tract']","['What', 'ejects', 'pathogens', 'from', 'the', 'gastrointestinal', 'pathway', 'no', 'sorry', 'the', 'gastrointestinal', 'tract']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many clubs do the students at the University of Model United Nations run,How many clubs do the teacher or wait I mean the students at the University of Model United Nations run,"['How', 'many', 'clubs', 'do', 'the', 'teacher', 'or', 'wait', 'I', 'mean', 'the', 'students', 'at', 'the', 'University', 'of', 'Model', 'United', 'Nations', 'run']","['How', 'many', 'clubs', 'do', 'the', 'students', 'at', 'the', 'University', 'of', 'Model', 'United', 'Nations', 'run']",How many club How many clubs do the students at the University of Model United Nations run,"['How', 'many', 'clubs', 'do', 'the', 'students', 'at', 'the', 'University', 'of', 'Model', 'United', 'Nations', 'run']","['How', 'many', 'club', 'How', 'many', 'clubs', 'do', 'the', 'students', 'at', 'the', 'University', 'of', 'Model', 'United', 'Nations', 'run']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_without_cue,2,N/A
What is set aside for question periods in the debating chamber,Who  sorry what is set aside for question periods in the debating chamber,"['Who', 'sorry', 'what', 'is', 'set', 'aside', 'for', 'question', 'periods', 'in', 'the', 'debating', 'chamber']","['What', 'is', 'set', 'aside', 'for', 'question', 'periods', 'in', 'the', 'debating', 'chamber']",What is set aside for cross-question for question periods in the debating chamber,"['What', 'is', 'set', 'aside', 'for', 'question', 'periods', 'in', 'the', 'debating', 'chamber']","['What', 'is', 'set', 'aside', 'for', 'cross-question', 'for', 'question', 'periods', 'in', 'the', 'debating', 'chamber']","['F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_without_cue,2,N/A
What is the edge of the moraine plateau called,How many geomorphologic formations is Warsaw no what is the edge of the moraine plateau called,"['How', 'many', 'geomorphologic', 'formations', 'is', 'Warsaw', 'no', 'what', 'is', 'the', 'edge', 'of', 'the', 'moraine', 'plateau', 'called']","['What', 'is', 'the', 'edge', 'of', 'the', 'moraine', 'plateau', 'called']",What is the edge of the moraine down moraine plateau called,"['What', 'is', 'the', 'edge', 'of', 'the', 'moraine', 'plateau', 'called']","['What', 'is', 'the', 'edge', 'of', 'the', 'moraine', 'down', 'moraine', 'plateau', 'called']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F']",noun_without_cue,2,N/A
How were most city officials elected in the 1960s,How were most city officials investigated in the 1960s no sorry how were they elected during that time,"['How', 'were', 'most', 'city', 'officials', 'investigated', 'in', 'the', '1960s', 'no', 'sorry', 'how', 'were', 'they', 'elected', 'during', 'that', 'time']","['How', 'were', 'most', 'city', 'officials', 'elected', 'in', 'the', '1960s']",How were most town city officials elected in the 1960s,"['How', 'were', 'most', 'city', 'officials', 'elected', 'in', 'the', '1960s']","['How', 'were', 'most', 'town', 'city', 'officials', 'elected', 'in', 'the', '1960s']","['F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_without_cue,2,N/A
What is the worlds largest academic and private library system,What is the worlds largest academic and private museum or rather private library system,"['What', 'is', 'the', 'worlds', 'largest', 'academic', 'and', 'private', 'museum', 'or', 'rather', 'private', 'library', 'system']","['What', 'is', 'the', 'worlds', 'largest', 'academic', 'and', 'private', 'library', 'system']",What is the worlds largest academic and private library mainstay private library system,"['What', 'is', 'the', 'worlds', 'largest', 'academic', 'and', 'private', 'library', 'system']","['What', 'is', 'the', 'worlds', 'largest', 'academic', 'and', 'private', 'library', 'mainstay', 'private', 'library', 'system']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",noun_without_cue,2,N/A
Who assembles the authors contributions,What is er who assembles the authors contributions,"['What', 'is', 'er', 'who', 'assembles', 'the', 'authors', 'contributions']","['Who', 'assembles', 'the', 'authors', 'contributions']",Who assembles the source authors contributions,"['Who', 'assembles', 'the', 'authors', 'contributions']","['Who', 'assembles', 'the', 'source', 'authors', 'contributions']","['F', 'F', 'F', 'D', 'F', 'F']",noun_without_cue,2,N/A
Who was the Karluk KaraKhanid ruler ranked above,Who was the Uighur King of Qocho no actually tell me who the Karluk KaraKhanid ruler was ranked above,"['Who', 'was', 'the', 'Uighur', 'King', 'of', 'Qocho', 'no', 'actually', 'tell', 'me', 'who', 'the', 'Karluk', 'KaraKhanid', 'ruler', 'was', 'ranked', 'above']","['Who', 'was', 'the', 'Karluk', 'KaraKhanid', 'ruler', 'ranked', 'above']",Who was the Karluk KaraKhanid rule KaraKhanid ruler ranked above,"['Who', 'was', 'the', 'Karluk', 'KaraKhanid', 'ruler', 'ranked', 'above']","['Who', 'was', 'the', 'Karluk', 'KaraKhanid', 'rule', 'KaraKhanid', 'ruler', 'ranked', 'above']","['F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F']",noun_without_cue,2,N/A
The Brotherhoods members are against consuming what beverage,The Brotherhoods members are against consuming which or rather what beverage,"['The', 'Brotherhoods', 'members', 'are', 'against', 'consuming', 'which', 'or', 'rather', 'what', 'beverage']","['The', 'Brotherhoods', 'members', 'are', 'against', 'consuming', 'what', 'beverage']",The Brotherhoods confrere The Brotherhoods members are against consuming what beverage,"['The', 'Brotherhoods', 'members', 'are', 'against', 'consuming', 'what', 'beverage']","['The', 'Brotherhoods', 'confrere', 'The', 'Brotherhoods', 'members', 'are', 'against', 'consuming', 'what', 'beverage']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_without_cue,2,N/A
